close;timestamp;token
10,15;14.08.2021;PCB
11,6;13.08.2021;PCB
11,99;12.08.2021;PCB
12,27;11.08.2021;PCB
12,06;10.08.2021;PCB
12,33;09.08.2021;PCB
11,42;08.08.2021;PCB
13,05;07.08.2021;PCB
13,88;06.08.2021;PCB
14,1;05.08.2021;PCB
14,73;04.08.2021;PCB
14,12;03.08.2021;PCB
14,31;02.08.2021;PCB
14,03;01.08.2021;PCB
14,77;31.07.2021;PCB
14,5;30.07.2021;PCB
14,52;29.07.2021;PCB
15,62;28.07.2021;PCB
16,12;27.07.2021;PCB
15,68;26.07.2021;PCB
16,02;25.07.2021;PCB
15,76;24.07.2021;PCB
15,04;23.07.2021;PCB
14,95;22.07.2021;PCB
14,83;21.07.2021;PCB
12,96;20.07.2021;PCB
13,7;19.07.2021;PCB
16,43;18.07.2021;PCB
15,31;17.07.2021;PCB
13,87;16.07.2021;PCB
17,94;15.07.2021;PCB
18,31;14.07.2021;PCB
18,62;13.07.2021;PCB
18,7;12.07.2021;PCB
18,55;11.07.2021;PCB
18,56;10.07.2021;PCB
18,41;09.07.2021;PCB
17,97;08.07.2021;PCB
19,01;07.07.2021;PCB
19,21;06.07.2021;PCB
18,33;05.07.2021;PCB
18,81;04.07.2021;PCB
16,63;03.07.2021;PCB
15,4;02.07.2021;PCB
15,28;01.07.2021;PCB
16,2;30.06.2021;PCB
15,93;29.06.2021;PCB
15,7;28.06.2021;PCB
14,28;27.06.2021;PCB
13,74;26.06.2021;PCB
13,52;25.06.2021;PCB
14,79;24.06.2021;PCB
15,24;23.06.2021;PCB
14,05;22.06.2021;PCB
14,61;21.06.2021;PCB
18,7;20.06.2021;PCB
18,03;19.06.2021;PCB
17,64;18.06.2021;PCB
19,15;17.06.2021;PCB
16,43;16.06.2021;PCB
17,66;15.06.2021;PCB
19,82;14.06.2021;PCB
20,45;13.06.2021;PCB
19,71;12.06.2021;PCB
20,44;11.06.2021;PCB
22,96;10.06.2021;PCB
24,18;09.06.2021;PCB
